CUST_ID,AGE,GENDER,MARITAL_STATUS,OCCUPATION,ANNUAL_INCOME,CITY_TIER,EDUCATION,HOUSE_OWNERSHIP,DEPENDENTS,MOBILE_PHONE,EMAIL_SUBSCRIBED,LOYALTY_CARD,REGION
C10030,69,Female,Married,Salaried,1640231,Urban,Graduate,Own,2,Yes,No,None,Central
C10031,47,Male,Married,Salaried,1567220,Metro,Professional,Rent,1,Yes,Yes,Silver,West
C10032,62,Male,Married,Salaried,2756851,Urban,Postgraduate,Family,4,Yes,Yes,Platinum,West
C10033,48,Male,Single,Salaried,1215968,Semi-Urban,Graduate,Own,4,Yes,Yes,Silver,West
C10034,36,Female,Married,Salaried,1390971,Urban,Professional,Family,1,Yes,Yes,Silver,South
C10035,35,Female,Single,Salaried,1984022,Semi-Urban,Professional,Own,3,Yes,Yes,Silver,East
C10036,67,Male,Married,Self-Employed,530307,Metro,Graduate,Family,3,Yes,Yes,Gold,South
C10037,64,Female,Married,Salaried,2032887,Metro,Postgraduate,Family,1,Yes,Yes,Silver,West
C10038,23,Male,Single,Retired,1901055,Semi-Urban,High School,Own,1,Yes,Yes,None,South
C10039,57,Other,Married,Salaried,1922592,Metro,Graduate,Own,1,Yes,Yes,Gold,East
C10040,27,Female,Married,Salaried,973511,Urban,High School,Rent,0,Yes,Yes,Silver,Central
C10041,41,Male,Single,Self-Employed,740832,Semi-Urban,Graduate,Own,4,Yes,Yes,None,Central
C10043,29,Female,Married,Self-Employed,1963224,Metro,Doctorate,Rent,0,Yes,Yes,Gold,West
C10044,59,Male,Single,Salaried,2516742,Semi-Urban,Postgraduate,Rent,0,Yes,Yes,Gold,South
C10045,38,Other,Married,Self-Employed,1771898,Metro,Postgraduate,Own,2,Yes,Yes,None,Central
C10046,24,Male,Single,Retired,2440160,Semi-Urban,High School,Own,0,Yes,Yes,Platinum,South
C10047,45,Female,Married,Self-Employed,2027582,Metro,Postgraduate,Rent,4,Yes,No,Silver,Central
C10048,34,Male,Married,Student,2833638,Metro,Graduate,Own,3,Yes,Yes,Silver,South
C10049,29,Female,Married,Self-Employed,2364584,Semi-Urban,Postgraduate,Own,4,Yes,Yes,None,Central
C10050,46,Female,Single,Self-Employed,2669087,Urban,Graduate,Rent,1,Yes,Yes,Gold,South
C10051,22,Female,Divorced,Self-Employed,628388,Metro,Graduate,Rent,1,No,Yes,Silver,North
C10052,40,Female,Married,Self-Employed,1658908,Metro,Professional,Own,1,Yes,Yes,Silver,East
C10053,48,Female,Single,Unemployed,2884735,Rural,Graduate,Own,0,Yes,Yes,Gold,South
C10054,67,Male,Married,Salaried,954241,Urban,Postgraduate,Rent,2,Yes,Yes,Silver,South
C10055,27,Male,Single,Student,1824177,Urban,Graduate,Rent,3,Yes,Yes,Silver,West
C10056,64,Male,Married,Salaried,1355449,Metro,High School,Own,0,Yes,No,None,South
C10057,28,Other,Married,Student,2579528,Rural,Graduate,Own,1,Yes,Yes,Silver,South
C10058,67,Male,Married,Salaried,2592905,Metro,Professional,Family,4,Yes,Yes,None,West
C10059,55,Female,Divorced,Salaried,1103291,Urban,Professional,Rent,1,Yes,Yes,None,North
C10060,34,Female,Married,Salaried,1699291,Urban,Graduate,Own,4,Yes,Yes,Platinum,South
C10061,37,Male,Single,Self-Employed,1817972,Semi-Urban,Postgraduate,Rent,3,Yes,Yes,Silver,West
C10062,56,Male,Divorced,Self-Employed,1640941,Urban,Graduate,Own,1,Yes,Yes,Silver,East
C10063,60,Male,Divorced,Salaried,947174,Urban,Graduate,Own,3,Yes,Yes,Gold,Central
C10064,24,Male,Married,Retired,1333881,Urban,Graduate,Family,1,Yes,Yes,Silver,East
C10065,22,Male,Married,Student,2826261,Urban,Graduate,Family,1,Yes,No,None,North
C10067,26,Male,Single,Self-Employed,1397445,Rural,Postgraduate,Rent,4,Yes,Yes,Platinum,East
C10068,62,Female,Married,Self-Employed,265580,Semi-Urban,Graduate,Family,2,Yes,Yes,None,Central
C10069,24,Other,Single,Salaried,1212647,Metro,Postgraduate,Rent,4,No,Yes,Silver,North
C10070,49,Male,Single,Salaried,2708438,Urban,Doctorate,Family,0,Yes,Yes,Silver,East
C10071,38,Male,Married,Salaried,1799609,Semi-Urban,High School,Family,3,Yes,Yes,Silver,East
C10072,46,Male,Single,Self-Employed,337697,Urban,Graduate,Family,3,Yes,Yes,Silver,South
C10073,64,Female,Single,Self-Employed,2914793,Urban,Professional,Family,2,Yes,Yes,Gold,North
C10074,54,Female,Married,Salaried,874469,Metro,High School,Rent,1,Yes,Yes,Platinum,East
C10075,30,Male,Single,Salaried,1158281,Metro,Postgraduate,Rent,3,Yes,Yes,Silver,Central
C10077,56,Male,Single,Salaried,1514734,Metro,Postgraduate,Own,2,Yes,No,None,East
C10078,34,Female,Single,Salaried,1287124,Urban,High School,Family,0,Yes,Yes,Silver,South
C10079,51,Female,Single,Unemployed,1449779,Rural,High School,Family,3,Yes,Yes,Silver,Central
C10080,68,Male,Married,Salaried,2862473,Semi-Urban,Graduate,Own,0,Yes,No,Gold,West
C10081,35,Female,Married,Retired,1169674,Metro,High School,Own,4,Yes,Yes,None,South
C10082,28,Male,Married,Self-Employed,2074068,Semi-Urban,Professional,Own,3,Yes,Yes,None,East
C10083,34,Male,Married,Unemployed,529240,Semi-Urban,Graduate,Own,3,Yes,Yes,Silver,South
C10084,43,Female,Single,Salaried,782523,Urban,Graduate,Own,1,Yes,Yes,Silver,South
C10085,60,Female,Single,Salaried,801148,Urban,Graduate,Rent,0,Yes,Yes,Silver,Central
C10086,41,Male,Single,Student,2127009,Urban,Professional,Own,4,Yes,Yes,Silver,North
C10087,36,Female,Married,Self-Employed,2916725,Urban,Postgraduate,Own,2,Yes,Yes,Gold,West
C10088,65,Male,Married,Self-Employed,1274398,Metro,Postgraduate,Own,4,No,Yes,Gold,West
C10089,38,Female,Married,Salaried,1719322,Urban,High School,Own,3,Yes,Yes,None,North
C10090,67,Female,Single,Self-Employed,1855256,Urban,Postgraduate,Own,0,Yes,Yes,Platinum,South
C10092,44,Female,Single,Salaried,2941563,Urban,Professional,Own,3,Yes,Yes,None,West
C10093,46,Female,Married,Salaried,234985,Urban,Postgraduate,Rent,2,Yes,Yes,Silver,Central
C10094,45,Male,Single,Salaried,2846716,Semi-Urban,High School,Own,2,Yes,Yes,Silver,East
C10095,65,Female,Married,Student,1684831,Metro,Professional,Rent,3,Yes,Yes,Gold,Central
C10096,61,Female,Married,Salaried,881333,Urban,High School,Family,3,Yes,No,Silver,Central
C10097,49,Female,Married,Salaried,1706350,Semi-Urban,Postgraduate,Rent,3,Yes,Yes,Platinum,East
C10098,35,Male,Divorced,Retired,1062243,Semi-Urban,Professional,Own,0,Yes,Yes,Gold,East
C10099,65,Female,Divorced,Self-Employed,2256164,Rural,Professional,Own,1,Yes,Yes,Silver,Central
C10100,21,Female,Married,Salaried,2869559,Urban,Postgraduate,Family,2,Yes,Yes,None,West
C10101,45,Male,Married,Self-Employed,2149627,Semi-Urban,Professional,Rent,0,Yes,Yes,None,West
C10102,27,Female,Single,Salaried,2806304,Semi-Urban,Postgraduate,Own,2,Yes,Yes,Platinum,Central
C10103,29,Male,Divorced,Salaried,1024035,Metro,High School,Own,3,Yes,Yes,Gold,East
C10104,44,Male,Married,Self-Employed,2850380,Semi-Urban,Graduate,Own,2,Yes,Yes,Gold,Central
C10105,21,Female,Single,Self-Employed,2829817,Metro,Graduate,Own,4,Yes,No,Silver,South
C10106,64,Female,Married,Self-Employed,2621604,Urban,Graduate,Rent,2,No,No,Silver,South
C10107,28,Female,Single,Self-Employed,2501162,Metro,Graduate,Rent,4,Yes,Yes,Gold,South
C10108,44,Male,Married,Self-Employed,2595257,Semi-Urban,Professional,Family,0,Yes,Yes,Silver,South
C10109,31,Other,Married,Salaried,248029,Rural,Graduate,Own,0,Yes,Yes,Silver,East
C10110,37,Male,Single,Retired,2442001,Metro,Postgraduate,Rent,4,Yes,Yes,Gold,South
C10111,28,Male,Single,Salaried,2206444,Semi-Urban,Professional,Own,2,No,Yes,Silver,South
C10112,55,Male,Divorced,Retired,2191671,Rural,Postgraduate,Rent,0,Yes,No,Silver,East
C10113,55,Female,Married,Salaried,1411553,Semi-Urban,High School,Own,2,Yes,Yes,Gold,North
C10114,53,Female,Married,Salaried,312236,Semi-Urban,Doctorate,Family,1,Yes,Yes,Silver,West
C10115,25,Female,Single,Self-Employed,1383909,Metro,High School,Rent,1,Yes,Yes,Gold,West
C10116,62,Female,Married,Salaried,1152207,Metro,Graduate,Own,4,Yes,Yes,Silver,South
C10117,59,Male,Married,Self-Employed,1209084,Urban,High School,Family,4,Yes,Yes,None,South
C10118,61,Female,Single,Salaried,1810170,Rural,Postgraduate,Family,2,Yes,Yes,Gold,South
C10119,48,Male,Single,Self-Employed,2621728,Semi-Urban,Professional,Own,1,Yes,Yes,Silver,North
C10120,27,Female,Single,Salaried,1118862,Rural,Graduate,Family,1,Yes,Yes,Gold,Central
C10121,29,Male,Single,Salaried,2638255,Urban,Doctorate,Family,4,Yes,Yes,Silver,North
C10122,28,Female,Widowed,Salaried,1807401,Semi-Urban,High School,Family,3,Yes,No,None,East
C10123,32,Female,Single,Self-Employed,2324489,Semi-Urban,Graduate,Rent,2,Yes,Yes,None,West
C10124,54,Female,Married,Self-Employed,2685058,Urban,Graduate,Rent,2,Yes,Yes,None,South
C10125,53,Female,Married,Salaried,853450,Rural,Professional,Own,0,Yes,No,Silver,West
C10126,68,Male,Single,Unemployed,459850,Metro,Graduate,Own,4,Yes,Yes,Platinum,North
C10127,43,Female,Married,Self-Employed,525391,Metro,Graduate,Family,0,Yes,Yes,Gold,South
C10128,44,Male,Single,Retired,2126309,Urban,Graduate,Rent,3,Yes,Yes,Silver,West
C10130,57,Female,Married,Salaried,639709,Metro,Graduate,Own,0,Yes,Yes,Silver,Central
C10131,55,Female,Single,Student,1808448,Metro,High School,Rent,3,Yes,Yes,Gold,East
C10132,64,Male,Married,Salaried,1606700,Urban,High School,Own,0,Yes,Yes,None,South
C10133,60,Other,Married,Salaried,1073595,Metro,Graduate,Own,4,Yes,Yes,Silver,South
C10134,42,Female,Divorced,Salaried,2503930,Semi-Urban,Postgraduate,Rent,3,Yes,Yes,Gold,Central
C10135,47,Male,Married,Salaried,927651,Urban,Graduate,Own,2,Yes,Yes,Gold,South
C10136,55,Female,Married,Salaried,943747,Urban,Graduate,Own,4,Yes,Yes,None,West
C10137,21,Male,Single,Self-Employed,629961,Metro,High School,Family,4,Yes,Yes,None,South
C10138,55,Female,Married,Unemployed,461199,Urban,Graduate,Own,1,Yes,No,None,South
C10139,57,Female,Married,Retired,2160532,Urban,Graduate,Own,2,Yes,Yes,None,Central
C10140,67,Other,Divorced,Salaried,1249116,Metro,High School,Rent,0,Yes,Yes,Platinum,South
C10141,34,Female,Single,Salaried,1257413,Semi-Urban,High School,Own,4,Yes,Yes,Silver,South
C10142,23,Male,Single,Salaried,1499421,Urban,High School,Rent,0,Yes,Yes,Silver,South
C10143,21,Female,Married,Salaried,1925121,Metro,Postgraduate,Own,4,Yes,No,Silver,Central
C10144,25,Male,Married,Salaried,1051321,Metro,Graduate,Family,2,Yes,Yes,Platinum,Central
C10145,46,Female,Single,Salaried,2975918,Urban,Graduate,Rent,4,Yes,Yes,None,West
C10146,34,Female,Married,Salaried,1297630,Semi-Urban,High School,Rent,0,Yes,Yes,Silver,Central
C10147,59,Male,Married,Self-Employed,2568342,Urban,Postgraduate,Own,0,Yes,Yes,Silver,Central
C10148,47,Male,Widowed,Self-Employed,1740500,Semi-Urban,Graduate,Own,2,Yes,Yes,Silver,South
C10149,29,Female,Married,Student,1551299,Urban,High School,Own,0,Yes,Yes,Silver,West
C10150,35,Female,Single,Salaried,960682,Semi-Urban,Professional,Rent,3,Yes,Yes,Gold,South
C10151,35,Male,Single,Retired,259821,Rural,Graduate,Own,4,Yes,Yes,Silver,West
C10152,46,Male,Single,Salaried,945991,Metro,Postgraduate,Own,3,Yes,Yes,Silver,East
C10153,62,Male,Married,Salaried,800956,Metro,Professional,Own,1,Yes,Yes,Platinum,South
C10154,33,Female,Married,Salaried,1938111,Metro,Doctorate,Own,1,Yes,Yes,Silver,West
C10155,52,Male,Single,Salaried,1781876,Metro,Postgraduate,Rent,4,Yes,Yes,Silver,East
C10156,59,Female,Married,Student,731318,Urban,High School,Own,0,Yes,Yes,Silver,East
C10157,69,Male,Married,Self-Employed,417522,Semi-Urban,Postgraduate,Rent,2,Yes,Yes,Platinum,North
C10158,52,Female,Single,Student,867387,Rural,Graduate,Own,1,Yes,Yes,Silver,North
C10159,24,Male,Single,Salaried,1760547,Urban,High School,Rent,0,Yes,No,Gold,North
C10160,50,Female,Widowed,Student,1341975,Semi-Urban,Graduate,Own,2,Yes,Yes,Silver,East
C10161,57,Male,Single,Self-Employed,2577861,Semi-Urban,Graduate,Rent,4,Yes,No,Silver,West
C10162,43,Female,Married,Student,2001149,Urban,Graduate,Own,0,Yes,Yes,Silver,West
C10163,59,Male,Married,Salaried,1612256,Semi-Urban,High School,Own,3,Yes,Yes,Gold,Central
C10164,65,Female,Married,Salaried,643919,Urban,Postgraduate,Own,4,Yes,Yes,Platinum,South
C10165,35,Female,Married,Salaried,866998,Semi-Urban,Professional,Rent,1,No,Yes,Silver,East
C10166,63,Male,Married,Salaried,1958216,Metro,Graduate,Own,4,Yes,No,None,Central
C10167,49,Female,Divorced,Salaried,2650418,Urban,High School,Own,4,Yes,Yes,Silver,East
C10168,56,Female,Divorced,Self-Employed,2616836,Semi-Urban,Professional,Rent,2,Yes,Yes,None,North
C10169,33,Male,Married,Unemployed,1180084,Metro,High School,Own,1,Yes,Yes,Platinum,East
C10170,52,Male,Single,Salaried,995657,Semi-Urban,Graduate,Family,2,Yes,Yes,None,North
C10171,27,Male,Single,Student,2393926,Metro,Graduate,Family,4,Yes,Yes,None,North
C10172,42,Female,Married,Student,2063361,Urban,Graduate,Family,0,Yes,Yes,Silver,West
C10173,48,Female,Married,Self-Employed,1381306,Metro,Postgraduate,Family,3,Yes,Yes,Silver,North
C10174,22,Male,Single,Salaried,1011582,Metro,Professional,Family,3,Yes,Yes,None,Central
C10175,62,Female,Single,Self-Employed,1922139,Metro,Graduate,Family,2,Yes,Yes,Silver,South
C10176,65,Female,Married,Self-Employed,2418311,Rural,Doctorate,Own,0,Yes,No,Gold,West
C10177,26,Female,Single,Retired,238649,Metro,Graduate,Own,3,Yes,No,Silver,West
C10178,48,Female,Married,Retired,2991935,Metro,Professional,Family,0,Yes,Yes,None,West
C10179,48,Female,Married,Self-Employed,2011362,Semi-Urban,Graduate,Own,2,Yes,Yes,Platinum,South
C10180,64,Female,Married,Salaried,2491841,Urban,Graduate,Family,1,Yes,Yes,Platinum,East
C10181,64,Male,Single,Salaried,482536,Metro,High School,Family,0,Yes,Yes,Gold,West
C10182,40,Female,Single,Salaried,1385691,Urban,Professional,Family,0,Yes,Yes,Platinum,North
C10183,50,Female,Single,Salaried,982922,Metro,Postgraduate,Own,1,Yes,Yes,Gold,East
C10184,31,Male,Single,Self-Employed,741155,Urban,Graduate,Own,4,Yes,No,None,West
C10185,48,Female,Married,Salaried,2690725,Semi-Urban,Graduate,Rent,4,Yes,Yes,None,West
C10186,45,Female,Married,Self-Employed,2211520,Metro,Professional,Own,4,Yes,Yes,None,Central
C10187,59,Female,Single,Salaried,589018,Rural,Professional,Family,2,Yes,Yes,Silver,Central
C10188,53,Male,Single,Self-Employed,2207874,Metro,Postgraduate,Family,4,Yes,Yes,Silver,Central
C10189,21,Male,Single,Salaried,889318,Semi-Urban,Graduate,Family,2,Yes,No,Silver,West
C10190,47,Female,Widowed,Salaried,2065416,Semi-Urban,High School,Rent,1,Yes,Yes,Silver,West
C10191,33,Female,Married,Salaried,226279,Metro,High School,Rent,0,Yes,No,Silver,Central
C10192,61,Male,Divorced,Retired,1409115,Metro,High School,Family,3,Yes,Yes,None,North
C10193,23,Female,Married,Salaried,2924308,Rural,Graduate,Rent,3,Yes,Yes,None,Central
C10194,59,Female,Married,Salaried,1041563,Semi-Urban,Graduate,Family,2,Yes,Yes,Silver,West
C10196,26,Male,Married,Student,503596,Metro,Graduate,Own,2,Yes,Yes,Silver,West
C10197,28,Male,Single,Self-Employed,1474775,Metro,Professional,Own,0,Yes,Yes,Platinum,South
C10198,47,Male,Married,Salaried,2817394,Rural,Professional,Family,1,Yes,Yes,Silver,North
C10199,29,Female,Single,Unemployed,1587575,Urban,Graduate,Own,0,Yes,Yes,Platinum,East
C10200,57,Male,Married,Salaried,722839,Metro,High School,Own,2,Yes,No,None,North
C10201,53,Male,Single,Salaried,437619,Rural,High School,Own,0,Yes,No,None,Central
C10202,62,Male,Married,Self-Employed,751866,Urban,Professional,Own,2,Yes,Yes,None,Central
C10203,64,Male,Single,Salaried,1774772,Urban,Graduate,Own,3,Yes,Yes,Gold,North
C10204,44,Male,Divorced,Self-Employed,1346635,Semi-Urban,Graduate,Rent,0,Yes,Yes,Silver,South
C10205,35,Male,Single,Salaried,662398,Semi-Urban,High School,Rent,1,Yes,Yes,Silver,South
C10206,52,Female,Married,Unemployed,2747235,Metro,Graduate,Own,3,Yes,No,Silver,East
C10207,52,Female,Married,Self-Employed,803656,Rural,Graduate,Rent,1,Yes,Yes,Silver,Central
C10208,44,Male,Single,Self-Employed,1463945,Rural,Graduate,Own,1,Yes,Yes,None,West
C10209,61,Male,Married,Student,2711088,Metro,Postgraduate,Own,2,No,Yes,Silver,East
C10211,69,Other,Divorced,Salaried,2691993,Urban,Graduate,Rent,1,Yes,Yes,Silver,North
C10212,69,Male,Single,Self-Employed,297543,Rural,Graduate,Rent,4,Yes,Yes,None,South
C10213,32,Male,Divorced,Self-Employed,369258,Urban,Graduate,Family,1,Yes,Yes,Gold,East
C10214,59,Male,Married,Salaried,2781708,Urban,High School,Rent,0,Yes,Yes,None,West
C10215,22,Male,Married,Salaried,2724525,Semi-Urban,Graduate,Rent,2,Yes,Yes,Silver,South
C10216,23,Female,Single,Salaried,1172565,Semi-Urban,High School,Rent,2,Yes,Yes,Silver,West
C10217,69,Male,Married,Self-Employed,1004303,Semi-Urban,Graduate,Own,4,Yes,Yes,Silver,West
C10218,57,Female,Divorced,Salaried,1640462,Semi-Urban,Professional,Own,2,Yes,Yes,Silver,South
C10219,69,Male,Married,Salaried,575105,Urban,Graduate,Family,2,Yes,Yes,None,West
C10220,37,Male,Married,Salaried,517797,Semi-Urban,Graduate,Rent,3,Yes,Yes,Gold,East
C10221,69,Female,Single,Salaried,2699476,Metro,Professional,Rent,3,Yes,Yes,Platinum,South
C10222,22,Male,Single,Salaried,2766237,Urban,Postgraduate,Own,3,Yes,Yes,None,South
C10223,22,Female,Married,Unemployed,939166,Metro,Doctorate,Family,4,Yes,Yes,Silver,South
C10224,48,Male,Married,Salaried,1807848,Urban,Graduate,Own,2,Yes,Yes,None,Central
C10226,43,Female,Married,Retired,1574198,Metro,Graduate,Family,2,Yes,Yes,Silver,Central
C10227,57,Male,Single,Salaried,456515,Urban,Graduate,Own,2,Yes,Yes,Platinum,South
C10228,52,Female,Married,Salaried,1918369,Semi-Urban,Professional,Own,1,Yes,Yes,Silver,East
C10229,53,Male,Single,Salaried,2001920,Urban,Graduate,Own,2,Yes,Yes,Gold,West
C10230,21,Female,Married,Self-Employed,1739849,Metro,Graduate,Rent,2,Yes,Yes,Silver,East
C10231,39,Male,Divorced,Self-Employed,2465823,Metro,Postgraduate,Rent,0,Yes,Yes,Silver,Central
C10232,22,Female,Married,Salaried,1914754,Rural,Postgraduate,Own,0,Yes,Yes,Silver,West
C10233,64,Male,Single,Student,2255817,Semi-Urban,Doctorate,Own,2,Yes,Yes,None,Central
C10234,46,Female,Divorced,Retired,2304136,Metro,Doctorate,Rent,1,Yes,Yes,Silver,West
C10235,52,Male,Married,Unemployed,1052718,Rural,Postgraduate,Rent,1,Yes,No,Silver,South
C10236,26,Male,Married,Salaried,2540290,Metro,Graduate,Own,4,Yes,Yes,Silver,South
C10237,52,Female,Single,Self-Employed,2564890,Semi-Urban,Graduate,Own,4,Yes,Yes,Silver,South
C10238,24,Male,Married,Salaried,600387,Urban,Graduate,Family,2,Yes,Yes,Silver,West
C10239,31,Male,Single,Salaried,1103007,Metro,Graduate,Rent,3,Yes,Yes,Silver,North
C10240,37,Female,Married,Student,1989541,Metro,Graduate,Family,1,Yes,Yes,Platinum,South
C10241,58,Other,Single,Salaried,1299146,Semi-Urban,Graduate,Own,3,Yes,Yes,Platinum,East
C10242,44,Male,Single,Self-Employed,579435,Urban,Graduate,Family,4,Yes,Yes,Silver,South
C10243,25,Female,Single,Student,819638,Urban,Doctorate,Family,1,Yes,Yes,Gold,Central
C10244,54,Female,Single,Salaried,1170427,Semi-Urban,Professional,Rent,3,Yes,Yes,Silver,South
C10245,26,Male,Single,Retired,1901606,Metro,Postgraduate,Own,2,Yes,Yes,Silver,South
C10246,42,Female,Married,Salaried,844076,Semi-Urban,Graduate,Rent,3,Yes,Yes,Silver,North
C10247,31,Female,Single,Salaried,1360182,Metro,Professional,Rent,4,Yes,Yes,Silver,North
C10248,68,Other,Married,Self-Employed,262653,Metro,Graduate,Rent,1,Yes,Yes,None,Central
C10249,36,Male,Single,Salaried,1652002,Semi-Urban,Graduate,Own,1,Yes,No,Silver,East
C10250,53,Female,Divorced,Salaried,1160109,Rural,Professional,Rent,1,Yes,Yes,Platinum,East
C10251,29,Male,Divorced,Salaried,301791,Semi-Urban,Graduate,Rent,2,Yes,Yes,Silver,West
C10252,26,Male,Single,Salaried,2942038,Metro,Professional,Rent,1,Yes,Yes,Platinum,North
C10253,36,Male,Married,Retired,886185,Rural,Graduate,Rent,3,Yes,Yes,None,Central
C10254,49,Other,Single,Self-Employed,320996,Urban,Professional,Rent,0,Yes,Yes,Silver,South
C10255,23,Female,Divorced,Salaried,2199871,Urban,Graduate,Own,0,Yes,Yes,None,East
C10256,40,Female,Married,Salaried,1848101,Rural,Graduate,Own,2,Yes,Yes,Platinum,West
C10257,56,Female,Single,Unemployed,280202,Metro,Postgraduate,Rent,3,Yes,Yes,Silver,West
C10258,39,Male,Single,Salaried,2280185,Urban,Graduate,Rent,2,Yes,No,Silver,South
C10259,46,Male,Single,Salaried,2105783,Rural,Graduate,Own,0,Yes,Yes,Silver,West
C10260,23,Male,Single,Unemployed,674964,Metro,Graduate,Own,1,Yes,Yes,Silver,North
C10261,39,Male,Married,Unemployed,1070698,Urban,Graduate,Rent,0,Yes,Yes,Silver,Central
C10262,40,Female,Married,Salaried,2625687,Metro,Doctorate,Own,0,Yes,No,None,North
C10263,52,Female,Single,Salaried,2021378,Rural,Graduate,Family,0,Yes,Yes,Silver,Central
C10265,27,Male,Single,Salaried,2872257,Urban,Graduate,Rent,2,Yes,Yes,Silver,South
C10266,61,Male,Single,Student,1842438,Metro,Professional,Rent,4,Yes,Yes,Gold,North
C10267,53,Male,Single,Self-Employed,459972,Urban,Graduate,Own,2,Yes,Yes,Silver,South
C10269,60,Male,Married,Student,1553652,Urban,High School,Rent,4,Yes,Yes,Silver,East
C10270,59,Female,Single,Student,525548,Semi-Urban,Graduate,Own,2,Yes,No,Silver,West
C10271,38,Female,Married,Salaried,2317223,Urban,Postgraduate,Own,0,Yes,Yes,Gold,Central
C10272,60,Female,Single,Unemployed,1724828,Metro,Postgraduate,Rent,1,Yes,Yes,Platinum,West
C10273,21,Male,Single,Salaried,2734696,Semi-Urban,Graduate,Own,3,Yes,Yes,Silver,South
C10274,31,Male,Married,Salaried,1826558,Metro,Doctorate,Family,4,Yes,Yes,None,West
C10275,48,Male,Married,Unemployed,2557727,Semi-Urban,Postgraduate,Own,2,Yes,Yes,Platinum,Central
C10276,45,Female,Married,Salaried,1773597,Urban,Postgraduate,Own,1,Yes,Yes,None,South
C10277,43,Female,Married,Salaried,1833991,Semi-Urban,Professional,Own,3,Yes,No,None,Central
C10278,51,Male,Married,Salaried,2262111,Urban,High School,Family,1,Yes,Yes,Silver,East
C10279,50,Female,Single,Salaried,2375497,Semi-Urban,Postgraduate,Own,4,Yes,No,Silver,Central
C10280,62,Female,Married,Salaried,1487850,Rural,Professional,Family,4,Yes,Yes,Silver,West
C10281,55,Female,Married,Salaried,307620,Semi-Urban,High School,Family,3,Yes,Yes,Gold,North
C10282,27,Female,Single,Salaried,1908653,Semi-Urban,Postgraduate,Family,3,Yes,Yes,Silver,South
C10283,36,Female,Married,Salaried,1515574,Semi-Urban,Doctorate,Family,4,Yes,Yes,Silver,East
